player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
calatni01,Nick Calathes,2015,25.0,4.2,1.8,2.5,1.1,0.1,0.456,0.256,0.533,0.174,0.182,17.9,2.6,11.8,-0.4,1.5,-3.1,3.2,0
caldwke01,Kentavious Caldwell-Pope,2015,21.0,12.7,3.1,1.3,1.1,0.2,0.449,0.345,0.696,0.457,0.163,19.5,1.9,9.1,1.1,1.8,-1.3,-0.4,0
canaais01,Isaiah Canaan,2015,23.0,9.2,1.9,2.1,0.6,0.1,0.417,0.37,0.817,0.651,0.159,21.6,2.1,8.3,0.8,0.7,0.1,-0.9,0
carrode01,DeMarre Carroll,2015,28.0,12.6,5.3,1.7,1.3,0.2,0.567,0.395,0.702,0.466,0.277,16.9,5.3,13.8,4.3,2.8,1.2,0.4,0
cartemi01,Michael Carter-Williams,2015,23.0,14.6,5.3,6.7,1.7,0.5,0.428,0.235,0.694,0.166,0.317,26.7,3.2,15.3,-2.1,2.9,-1.3,0.3,0
cartevi01,Vince Carter,2015,38.0,5.8,2.0,1.2,0.7,0.2,0.379,0.297,0.789,0.571,0.14,19.9,2.8,11.1,-0.5,1.4,-2.1,0.4,0
casspom01,Omri Casspi,2015,26.0,8.9,3.9,1.5,0.5,0.1,0.512,0.402,0.733,0.204,0.447,18.7,4.5,15.9,2.0,0.6,0.3,-1.1,0
chalmma01,Mario Chalmers,2015,28.0,10.2,2.6,3.8,1.5,0.1,0.467,0.294,0.774,0.374,0.401,18.9,1.2,9.0,0.8,2.0,-2.6,0.1,0
chandty01,Tyson Chandler,2015,32.0,10.3,11.5,1.1,0.6,1.2,0.666,0.0,0.72,0.0,0.584,12.8,14.1,27.4,7.2,3.1,2.4,0.2,0
chandwi01,Wilson Chandler,2015,27.0,13.9,6.1,1.7,0.7,0.4,0.49,0.342,0.775,0.416,0.146,20.1,4.1,17.2,2.1,1.5,0.2,-0.7,0
clarkjo01,Jordan Clarkson,2015,22.0,11.9,3.2,3.5,0.9,0.2,0.482,0.314,0.829,0.203,0.265,23.0,4.0,10.5,2.0,0.4,1.2,-0.9,0
coleno01,Norris Cole,2015,26.0,6.95,2.2,3.45,0.85,0.2,0.452,0.289,0.706,0.324,0.148,16.6,1.1,9.55,0.15,0.9,-2.35,-0.55,0
collida01,Darren Collison,2015,27.0,16.1,3.2,5.6,1.5,0.3,0.514,0.373,0.788,0.293,0.335,20.9,1.4,8.7,3.0,0.8,2.3,-0.2,0
collini01,Nick Collison,2015,34.0,4.1,3.8,1.4,0.5,0.4,0.466,0.267,0.692,0.237,0.257,12.8,8.9,15.3,1.0,1.2,-1.9,0.9,0
conlemi01,Mike Conley,2015,27.0,15.8,3.0,5.4,1.3,0.2,0.473,0.386,0.859,0.314,0.282,23.7,1.5,9.2,4.2,2.7,2.6,0.2,0
copelch01,Chris Copeland,2015,30.0,6.2,2.2,1.0,0.2,0.2,0.42,0.311,0.733,0.539,0.145,21.3,3.1,11.7,-0.9,0.8,-2.5,-1.2,0
couside01,DeMarcus Cousins,2015,24.0,24.1,12.7,3.6,1.5,1.7,0.469,0.25,0.782,0.008,0.508,34.1,10.8,30.6,2.8,3.2,2.8,1.5,1
covinro01,Robert Covington,2015,24.0,13.5,4.5,1.5,1.4,0.4,0.426,0.374,0.82,0.59,0.287,21.8,3.4,14.6,1.6,2.3,0.3,0.4,0
crabbal01,Allen Crabbe,2015,22.0,3.3,1.4,0.8,0.4,0.3,0.485,0.353,0.75,0.556,0.105,11.5,1.1,10.1,0.5,0.8,-2.4,1.5,0
crawfja01,Jamal Crawford,2015,34.0,15.8,1.9,2.5,0.9,0.2,0.448,0.327,0.901,0.434,0.3,27.6,1.2,6.9,2.5,1.2,1.9,-1.2,0
crowdja01,Jae Crowder,2015,24.0,8.6,4.1,1.25,0.95,0.35,0.497,0.288,0.768,0.372,0.268,17.7,4.7,15.65,1.75,1.9,-0.2,0.75,0
cunnida01,Dante Cunningham,2015,27.0,5.2,3.9,0.8,0.7,0.6,0.468,0.1,0.617,0.029,0.139,10.9,4.8,12.8,0.5,1.2,-2.8,0.4,0
